Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
The 'Revolutionary slider option' in 'Add new' section of 'Posts' field is not working.,RE-60,10059,Bug,To Do,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/8/2021 9:05,9/8/2021 10:27,9/8/2021 9:06,,,0,"*Description*

The revolutionary slider option for proving any template to the newly created post is not working and showing default.

*Steps To Reproduce*

1.Go to posts

2.Go to Add New

3. Create a new post by providing title any description

4.Click on revolutionary slider option.

*Expected Result*

The Revolutionary slider option should open a variety of templates option.

*Actual Result*

The slider option is not showing any templates option and instead showing default.

!image-20210908-034150.png|width=268,height=248!",,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-59,08/Sep/21 9:12 AM;ug:2139ff6f-71ac-4c11-888b-90458bec2fca;image-20210908-034150.png;https://realestate99.atlassian.net/secure/attachment/10003/image-20210908-034150.png,,,,,,,{},,,,,,,0|i0001q:zzzzzzz,,RE Sprint 1,,,,,,,,To Do
"Verify when the user creates a new post in 'Add New' section of 'Posts' field,the user is able to use revolutionary slider option for giving any template to the post.",RE-59,10058,Test,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/8/2021 8:58,9/8/2021 10:27,9/8/2021 10:09,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,RE-60,RE-2,,,,,,,,{},,,,,,,0|i0000b:,,RE Sprint 1,,,,,,,,In Progress
The 'Publish immediately' field under the 'publish' section is taking previous dates. ,RE-58,10057,Bug,To Do,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 16:49,9/8/2021 10:21,9/7/2021 17:09,,,0,"*Description*

The ‘Publish immediately’ field is accepting previous dates.

*Steps to Reproduce*

# Go to the Real Estate application.
# Go to the Posts
# Go to the Add New
# Write title and description
# Select date from publish immediately field

*Expected Result*

The ‘Publish Immediately’ field should take current and future dates.

*Actual Result*

The ‘Publish immediately’ field  is accepting past dates

!image-20210907-113808.png|width=522,height=468!",,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-57,07/Sep/21 5:08 PM;ug:2139ff6f-71ac-4c11-888b-90458bec2fca;image-20210907-113808.png;https://realestate99.atlassian.net/secure/attachment/10002/image-20210907-113808.png,,,,,,,{},,,,,,,0|i0001q:zzzzzzy,,RE Sprint 1,,,,,,,,To Do
"Verify all functionality such as status, visibility and publish immediately fields under 'Publish' section of the 'Posts' field",RE-57,10056,Test,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 16:40,9/8/2021 10:21,9/8/2021 10:19,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,RE-58,RE-56,,,,,,,,{},,,,,,,0|i0001q:zzzzzzx,,RE Sprint 1,,,,,,,,In Progress
As a user I should be able to use the 'Publish' functionality in order to post any new document in 'Add New' section of 'posts' field.,RE-56,10055,Story,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 16:36,9/8/2021 16:43,9/8/2021 15:57,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-58,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzzzzv,,RE Sprint 1,,,,,,,,In Progress
"The 'Delete' functionality in tags/category section of Posts field shows wrong validation message ''Something went wrong"".",RE-55,10054,Bug,To Do,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 14:59,9/8/2021 10:29,9/7/2021 15:14,,,0,"*Description*

On clicking the ‘Delete’ functionality instead of deleting the selected item, it shows wrong validation message ‘something went wrong’ and the item  gets deleted only after refreshing the page.

*Steps to Reproduce*

# Go to the Real Estate application.
# Go to the posts section
# Go to tags/category section.
# Select any item and clicks on delete

*Expected Result*

The selected item should get deleted immediately.

*Actual Result*

Upon clicking the ‘delete’ functionality the page is showing a popup message with ‘something went wrong’ and the item remains as it is and the item gets deleted only after when the page is refreshed.





!image-20210907-094553.png|width=742,height=546!

!image-20210907-094708.png|width=849,height=453!",,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-35,07/Sep/21 3:17 PM;ug:2139ff6f-71ac-4c11-888b-90458bec2fca;image-20210907-094553.png;https://realestate99.atlassian.net/secure/attachment/10000/image-20210907-094553.png,07/Sep/21 3:17 PM;ug:2139ff6f-71ac-4c11-888b-90458bec2fca;image-20210907-094708.png;https://realestate99.atlassian.net/secure/attachment/10001/image-20210907-094708.png,,,,,,{},,,,,,,0|i0001q:zzzzzzr,,RE Sprint 1,,,,,,,,To Do
"verify columns such as name, description, slug and count appear in the result page of 'tags/category' section of 'Posts' field.",RE-54,10053,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 14:19,9/8/2021 10:18,9/7/2021 14:19,9/8/2021 10:18,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-52,,,,,,,,{},,,,,,,0|i0001q:zzzzzzi,,RE Sprint 1,,,,,,,,Done
"verify columns such as title, author, categories, tags and date appear in the result page of 'All posts' section of 'Posts' field.",RE-53,10052,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 14:13,9/8/2021 10:18,9/7/2021 14:13,9/8/2021 10:18,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-52,,,,,,,,{},,,,,,,0|i0001q:zzzzzz,,RE Sprint 1,,,,,,,,Done
"As a user I should be able to see the result/displayed page for 'all posts', 'tags', and 'category' section of the 'posts' field.",RE-52,10051,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 14:11,9/8/2021 10:18,9/8/2021 9:30,9/8/2021 10:18,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzzzy,,RE Sprint 1,,,,,,,,Done
Verify when the number of records can be changed for every page,RE-51,10050,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 13:07,9/8/2021 10:18,9/7/2021 14:03,9/8/2021 10:18,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzzx,,RE Sprint 1,,,,,,,,Done
verify that the valid page number must be displayed on every page.,RE-50,10049,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 13:02,9/8/2021 10:17,9/7/2021 13:03,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzzv,,RE Sprint 1,,,,,,,,Done
verify on the very last page next button must be disabled.,RE-49,10048,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:56,9/8/2021 10:17,9/7/2021 12:56,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzw,,RE Sprint 1,,,,,,,,Done
verify on the very first page previous button must be disabled.,RE-48,10047,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:51,9/8/2021 10:17,9/7/2021 12:51,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzzr,,RE Sprint 1,,,,,,,,Done
verify when next button is clicked in pagination it must redirect to next page.,RE-47,10046,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:47,9/8/2021 10:17,9/7/2021 12:48,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzzi,,RE Sprint 1,,,,,,,,Done
verify when previous button is clicked in pagination it must redirect to previous  page.,RE-46,10045,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:40,9/8/2021 10:17,9/7/2021 12:40,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzxi,,RE Sprint 1,,,,,,,,Done
verify whether the pagination displayed has both previous and next clickable links.,RE-45,10044,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:32,9/8/2021 10:17,9/7/2021 12:33,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzz,,RE Sprint 1,,,,,,,,Done
Verify the total number of records i.e.  20 per page as per mentioned in screen option.,RE-44,10043,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:25,9/8/2021 10:17,9/7/2021 12:59,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-43,,,,,,,,{},,,,,,,0|i0001q:zzzzy,,RE Sprint 1,,,,,,,,Done
As a user I should be able to perform pagination functionality so that I can keep track of the records.,RE-43,10042,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 12:16,9/8/2021 10:17,9/8/2021 9:28,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzzx,,RE Sprint 1,,,,,,,,Done
"Verify whether the user can use search functionality only for the columns such as name,  slugs  in the 'Tags/category' section of 'Posts' field.",RE-42,10041,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 11:55,9/8/2021 10:17,9/7/2021 12:17,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-16,,,,,,,,{},,,,,,,0|i0001q:zzzzv,,RE Sprint 1,,,,,,,,Done
Verify whether the user can use search functionality only for name column in the 'All posts' section of 'Posts' field.,RE-41,10040,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 11:42,9/8/2021 10:17,9/7/2021 12:16,9/8/2021 10:17,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-16,,,,,,,,{},,,,,,,0|i0001q:zzzzr,,RE Sprint 1,,,,,,,,Done
Verify whether the admin can perform bulk action 'Delete permanently' or 'Empty trash' functionality in 'Trash' field to delete posts from trash .,RE-40,10039,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 10:33,9/8/2021 10:16,9/7/2021 10:33,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-38,,,,,,,,{},,,,,,,0|i0001q:zzzzi,,RE Sprint 1,,,,,,,,Done
